事故類型及型態子類別名稱,發生年度,發生月份,發生日期,處理單位名稱警局層,發生地點,天候名稱,道路類別-第1當事者-名稱,當事者順位,當事者區分-類別-大類別名稱-車種,當事者屬-性-別名稱,當事者事故發生時年齡,肇因研判子類別名稱-主要,肇事逃逸類別名稱-是否肇逃
撞號誌、標誌桿,2022,1.0,20220101.0,雲林縣警察局,雲林縣虎尾鎮雲145公路路燈290570號,晴,市區道路,1.0,機車,男,17.0,未注意車前狀態,否
撞號誌、標誌桿,2022,1.0,20220101.0,雲林縣警察局,雲林縣虎尾鎮雲145公路路燈290570號,晴,市區道路,2.0,,無或物(動物、堆置物),-1.0,未注意車前狀態,否
追撞,2022,1.0,20220101.0,國道公路警察局,屏東縣九如鄉國道3號 393公里600.0公尺處南側向外側,晴,國道,1.0,小客車,男,34.0,未注意車前狀態,否
追撞,2022,1.0,20220101.0,國道公路警察局,屏東縣九如鄉國道3號 393公里600.0公尺處南側向外側,晴,國道,2.0,小貨車(含客、貨兩用),男,43.0,未注意車前狀態,否
追撞,2022,1.0,20220101.0,國道公路警察局,屏東縣九如鄉國道3號 393公里600.0公尺處南側向外側,晴,國道,3.0,,無或物(動物、堆置物),-1.0,未注意車前狀態,否
追撞,2022,1.0,20220101.0,國道公路警察局,屏東縣九如鄉國道3號 393公里600.0公尺處南側向外側,晴,國道,4.0,小客車,女,56.0,未注意車前狀態,否
衝出路外,2022,1.0,20220101.0,宜蘭縣政府警察局,宜蘭縣南澳鄉台9線 117公里900.0公尺處附近,晴,省道,1.0,機車,男,24.0,不明原因肇事,否
衝出路外,2022,1.0,20220101.0,宜蘭縣政府警察局,宜蘭縣南澳鄉台9線 117公里900.0公尺處附近,晴,省道,2.0,,無或物(動物、堆置物),-1.0,不明原因肇事,否
衝出路外,2022,1.0,20220101.0,南投縣政府警察局,南投縣仁愛鄉台14甲線 2公里500.0公尺處,晴,省道,1.0,機車,女,18.0,未注意車前狀態,否
衝出路外,2022,1.0,20220101.0,南投縣政府警察局,南投縣仁愛鄉台14甲線 2公里500.0公尺處,晴,省道,2.0,,無或物(動物、堆置物),-1.0,未注意車前狀態,否
衝出路外,2022,1.0,20220101.0,南投縣政府警察局,南投縣仁愛鄉台14甲線 2公里500.0公尺處,晴,省道,3.0,人,男,19.0,未注意車前狀態,否
其他,2022,1.0,20220101.0,屏東縣政府警察局,屏東縣屏東市和平路南側 / 屏東縣屏東市和平路東側,晴,市區道路,1.0,人,男,68.0,其他引起事故之疏失或行為,否
其他,2022,1.0,20220101.0,屏東縣政府警察局,屏東縣屏東市和平路南側 / 屏東縣屏東市和平路東側,晴,市區道路,2.0,小客車,女,22.0,其他引起事故之疏失或行為,否
其他,2022,1.0,20220102.0,宜蘭縣政府警察局,宜蘭縣五結鄉中正路2段口 / 宜蘭縣五結鄉中正路2段口,晴,其他,1.0,機車,男,20.0,違反號誌管制或指揮,否
其他,2022,1.0,20220102.0,宜蘭縣政府警察局,宜蘭縣五結鄉中正路2段口 / 宜蘭縣五結鄉中正路2段口,晴,其他,2.0,小客車,男,42.0,違反號誌管制或指揮,否
同向通行中,2022,1.0,20220102.0,嘉義縣警察局,嘉義縣水上鄉水上村正義路龍德地下道快車道,晴,縣道,1.0,小貨車(含客、貨兩用),男,67.0,未注意車前狀態,否
同向通行中,2022,1.0,20220102.0,嘉義縣警察局,嘉義縣水上鄉水上村正義路龍德地下道快車道,晴,縣道,2.0,人,女,81.0,未注意車前狀態,否
側撞,2022,1.0,20220102.0,新竹縣政府警察局,新竹縣橫山鄉油羅溪橋北端,晴,省道,1.0,小客車,男,47.0,未依規定讓車,否
側撞,2022,1.0,20220102.0,新竹縣政府警察局,新竹縣橫山鄉油羅溪橋北端,晴,省道,2.0,機車,男,29.0,未依規定讓車,否
其他,2022,1.0,20220102.0,桃園市政府警察局,桃園市楊梅區台31線 21公里200.0公尺處北側向機車優先道,晴,省道,1.0,機車,男,48.0,未注意車前狀態,否
其他,2022,1.0,20220102.0,桃園市政府警察局,桃園市楊梅區台31線 21公里200.0公尺處北側向機車優先道,晴,省道,2.0,小貨車(含客、貨兩用),男,56.0,未注意車前狀態,否
同向通行中,2022,1.0,20220103.0,新竹市警察局,新竹市北區海濱路266巷30號旁,晴,市區道路,1.0,大貨車,男,67.0,未保持行車安全間隔,否
同向通行中,2022,1.0,20220103.0,新竹市警察局,新竹市北區海濱路266巷30號旁,晴,市區道路,2.0,人,男,88.0,未保持行車安全間隔,否
側撞,2022,1.0,20220103.0,臺南市政府警察局,臺南市學甲區秀昌里中正路與三民路口,晴,市區道路,1.0,曳引車,男,38.0,未依規定讓車,否
